Image,Class
12953.png,38
02978.png,76
10718.png,18
01916.png,16
15254.png,53
10871.png,69
13745.png,45
03218.png,18
13367.png,65
16226.png,26
08099.png,95
14800.png,0
12381.png,79
13986.png,84
06972.png,70
14769.png,67
02142.png,42
11740.png,40
02154.png,53
17908.png,8
06508.png,8
08822.png,22
12101.png,1
09361.png,59
10804.png,4
12712.png,12
05381.png,79
09272.png,70
11187.png,27
13140.png,40
11446.png,46
03774.png,72
00031.png,31
06023.png,23
01506.png,6
15289.png,81
14063.png,61
08203.png,3
06507.png,7
00878.png,76
12997.png,93
04793.png,89
08278.png,76
16120.png,20
07282.png,80
18335.png,35
13372.png,70
10113.png,13
15503.png,3
00077.png,75
17944.png,44
02616.png,16
01525.png,25
05646.png,46
14896.png,92
17073.png,71
04183.png,81
16284.png,82
15266.png,64
01508.png,8
17839.png,39
06006.png,6
15162.png,60
08627.png,27
16384.png,82
00140.png,40
10290.png,86
14037.png,37
19740.png,40
02513.png,13
07497.png,93
05976.png,74
17008.png,8
03931.png,31
02846.png,46
19849.png,49
18272.png,70
09012.png,12
13527.png,27
15207.png,7
11057.png,55
16731.png,31
16505.png,5
08359.png,57
03476.png,74
14158.png,56
00688.png,85
14236.png,36
08060.png,58
13937.png,37
11332.png,32
13192.png,88
13208.png,8
05902.png,2
04575.png,73
04697.png,93
07092.png,88
18375.png,73
18158.png,56
10818.png,18
06018.png,18
11977.png,75
03170.png,68
16310.png,10
05903.png,3
01960.png,58
18666.png,64
15499.png,95
13008.png,8
14592.png,88
05121.png,21
07830.png,30
12593.png,89
03110.png,10
19110.png,10
08623.png,23
08140.png,40
13428.png,28
17533.png,33
08789.png,81
09497.png,93
12832.png,32
02904.png,4
00398.png,94
02239.png,39
12730.png,30
03468.png,66
07313.png,13
11874.png,72
19162.png,60
03066.png,64
11550.png,50
00749.png,49
18149.png,49
08096.png,92
13475.png,73
17458.png,56
03652.png,52
03868.png,66
15585.png,83
12370.png,68
04469.png,67
14317.png,17
16643.png,43
06870.png,68
08112.png,12
13436.png,36
04642.png,42
15439.png,39
01958.png,56
17004.png,4
18141.png,41
17200.png,0
14794.png,90
07300.png,0
03024.png,24
17301.png,1
14625.png,25
07791.png,87
18695.png,91
11198.png,94
10017.png,17
03924.png,24
13989.png,81
04138.png,38
18577.png,75
15878.png,76
03415.png,15
08716.png,16
01552.png,52
19560.png,58
09398.png,94
17235.png,35
04096.png,92
00302.png,2
14284.png,82
13164.png,62
17793.png,89
11670.png,68
18700.png,0
07367.png,65
19728.png,28
03023.png,23
03342.png,42
14501.png,1
06563.png,61
12869.png,67
02175.png,73
06688.png,85
01636.png,36
05570.png,68
11504.png,4
11274.png,72
04548.png,48
11969.png,67
19676.png,74
03576.png,74
00641.png,41
13266.png,64
00301.png,1
01054.png,53
03675.png,73
07845.png,45
19866.png,64
12344.png,44
17403.png,3
08899.png,95
05427.png,27
04507.png,7
12680.png,78
12163.png,61
01693.png,89
03871.png,69
05276.png,74
07000.png,0
13566.png,64
05347.png,47
16199.png,95
05292.png,88
07644.png,44
10859.png,57
03501.png,1
13350.png,50
13513.png,13
03702.png,2
06311.png,11
07903.png,3
17134.png,34
00155.png,27
01492.png,88
18709.png,9
10270.png,68
14808.png,8
16132.png,32
16873.png,71
19197.png,93
03915.png,15
03020.png,20
02772.png,70
04119.png,19
05479.png,77
19745.png,45
00060.png,58
03725.png,25
07202.png,2
11174.png,72
06771.png,69
13780.png,78
15772.png,70
13676.png,74
00434.png,34
06464.png,62
13967.png,65
12435.png,35
12434.png,34
07065.png,63
14091.png,87
14458.png,56
14961.png,59
13421.png,21
15373.png,71
19440.png,40
03796.png,92
07344.png,44
16145.png,45
08982.png,80
10923.png,23
11290.png,86
10374.png,72
14813.png,13
05913.png,13
13562.png,60
09916.png,16
11575.png,73
02097.png,93
07421.png,21
13802.png,2
19105.png,5
04213.png,13
15428.png,28
11563.png,61
18573.png,71
12664.png,62
17921.png,21
06852.png,52
06721.png,21
13654.png,53
13765.png,63
05980.png,78
08993.png,89
05962.png,60
00381.png,79
15058.png,56
16153.png,38
00824.png,24
04810.png,10
02123.png,23
03148.png,48
11473.png,71
08793.png,89
15388.png,85
08226.png,26
17708.png,8
07869.png,67
17024.png,24
16531.png,31
07607.png,7
17941.png,41
09581.png,79
17918.png,18
17672.png,70
13387.png,27
15632.png,32
01216.png,16
14480.png,78
12535.png,35
19693.png,89
16073.png,71
02553.png,38
08206.png,6
13486.png,84
04439.png,39
17591.png,87
01339.png,39
07560.png,58
00346.png,46
07792.png,88
11484.png,82
02672.png,70
17214.png,14
08331.png,31
00430.png,30
10790.png,86
07410.png,10
16291.png,87
18100.png,0
07340.png,40
16636.png,36
17054.png,53
03553.png,38
04272.png,70
19528.png,28
00517.png,17
06758.png,56
10805.png,5
19952.png,52
07664.png,62
11425.png,25
09244.png,44
19219.png,19
16648.png,48
04923.png,23
07902.png,2
02756.png,54
18451.png,51
19266.png,64
02318.png,18
10686.png,84
10968.png,66
05869.png,67
06396.png,92
15194.png,90
14590.png,86
09237.png,37
16842.png,42
03717.png,17
19667.png,65
08874.png,72
11765.png,63
01440.png,40
16840.png,40
03984.png,82
14453.png,38
15680.png,78
09303.png,3
11266.png,64
17231.png,31
01374.png,72
03963.png,61
18078.png,76
12232.png,32
18273.png,71
19394.png,90
15423.png,23
08925.png,25
12573.png,71
07843.png,43
04373.png,71
18303.png,3
00873.png,71
17393.png,89
10529.png,29
12482.png,80
18299.png,95
08296.png,92
10776.png,74
14827.png,27
19536.png,36
05828.png,28
02211.png,11
03788.png,85
19074.png,72
11872.png,70
16371.png,69
06002.png,2
13789.png,81
10864.png,62
12795.png,91
